w,$\ell= 30$,$\ell= 90$,$\ell= 180$,$\ell= 270$
0.0,0.0,0.0,0.0,0.0
0.1,0.18933521927068409,0.4355680105865944,0.5745139162713415,0.46201109715621463
0.2,0.2580728947771043,0.5882541757584379,0.7315117814006445,0.6025237466822514
0.30000000000000004,0.3083899196719452,0.683927801910888,0.7536306549336367,0.6703690089028389
0.4,0.34912319084540666,0.7243153589733891,0.7239035170748703,0.6851784971785697
0.5,0.38316843885199947,0.7144991195550846,0.677014534765206,0.6651961399526436
0.6000000000000001,0.3979608467695149,0.6710620037302825,0.6200325033349464,0.6186450112787312
0.7000000000000001,0.38990086900541526,0.6031072275272285,0.5508069376018161,0.5515739798962299
0.8,0.3498143861260823,0.5076471837374315,0.4639251934981312,0.46362932823137254
0.9,0.2699848446597533,0.3726225926762562,0.34546995558984733,0.3432811714485141
1.0,0.07277388421278165,0.09184347993649823,0.09477220987478181,0.10135127353156377
