$\ell$,"$\mathcal{D}_2(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.2}(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.5}(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.8}(x^{(\ell)}, x^{(0)})$"
0,0.0,0.0,0.0,0.0
1,0.031840751972990335,0.02628376780941932,0.030898033170419777,0.031666808359442696
2,0.05205925628589733,0.03869774539071242,0.04846793048598254,0.05202028293211591
3,0.06973505504814473,0.04895957379067619,0.06326239686335534,0.06968351371736613
4,0.0862741476658191,0.05826112723582836,0.07703340602874234,0.08582200870613704
5,0.10500234738848671,0.06761622998649526,0.09106826355709392,0.10386314948562538
6,0.12334907845615514,0.07705870846598482,0.10602762978064999,0.12196743062578823
7,0.14092417680381747,0.08658085625389782,0.12046384162271141,0.14027948180229594
8,0.15742661722282728,0.09548162417450055,0.1345359769320005,0.15737921247696354
9,0.16925979017254653,0.10203868730923797,0.14522158585780331,0.1688967003382878
10,0.1838269752532079,0.11022814641393175,0.15804911290705353,0.18280997179423744
11,0.1952382382164845,0.1170867789088157,0.16866962526337484,0.19340568120263468
12,0.20668465029722174,0.1241792152621214,0.17955253212122424,0.2036325743088228
13,0.21714598774207577,0.1308976851651836,0.18966782334812277,0.21244569593079893
14,0.22830829323744858,0.13829319719779143,0.20067025069106662,0.22184033639960193
15,0.23949944034815324,0.14553900091044006,0.21154317892237226,0.23121500401077485
16,0.2508035877600209,0.15281870994658828,0.22269140834253992,0.24059435863775316
17,0.2612245005868223,0.1598276390010817,0.2333895314885618,0.2489729741900395
18,0.2722296584858566,0.16723887901849313,0.24473987918758427,0.2578001575007351
19,0.2833800593597562,0.17482813508042347,0.2563949389016616,0.2662263217414218
20,0.2950154378337958,0.18259792843195002,0.26870031095263125,0.2754875153785391
21,0.30700856866265475,0.19037484964492046,0.28123031535999643,0.2848474696603089
22,0.3192808844134904,0.1987626102150804,0.2943454045247346,0.29458015791433284
23,0.32878838927588155,0.2057886814548025,0.30497900271099626,0.3012621454267768
24,0.338752043237401,0.21309130575150081,0.31595850515418017,0.30862547655010825
25,0.35017568483307643,0.22114035335649282,0.3282328596857309,0.31732433554798345
26,0.3607568908412836,0.22893557550720475,0.34008089936512376,0.3249579898807134
27,0.37084647816463573,0.2366667095417264,0.3515924993540042,0.33180513965051145
28,0.3795974424575732,0.24357621732221776,0.3619802857093481,0.3373757506512357
29,0.3893594278969487,0.25081621886610606,0.37286163653452314,0.34370046447487096
30,0.3987122043664049,0.2580728947771043,0.38316843885199947,0.3498143861260823
31,0.40709667633117463,0.2648047545776683,0.3925294154070924,0.35519534905034783
32,0.41570092984414203,0.27151973304512744,0.4018921201543431,0.3607496525877543
33,0.4239862887291333,0.278232092916182,0.41102868265459713,0.36587330976504806
34,0.4309876492682967,0.2844480289656722,0.4190677251913248,0.36988687623190236
35,0.438196786150507,0.29076941581970045,0.42717241852045035,0.3738718905840069
36,0.4460196450782401,0.29730908712686166,0.4357244798589772,0.3783941729501774
37,0.4534800284350555,0.3039325867851439,0.44389080822359145,0.38260895836694947
38,0.46110208812035014,0.31078537323969035,0.45221386141223213,0.386770024112093
39,0.4704685021952534,0.3179103739876321,0.4619296416972429,0.39252996351767944
40,0.47918903672310603,0.3246191277029547,0.47089221910043955,0.39777516375265876
41,0.4879518051770797,0.3313220332450572,0.48006014745282677,0.40308157248496485
42,0.4962906331656023,0.3379587030768989,0.48886247886986944,0.4080449697845319
43,0.5048688451710517,0.3447760502471768,0.4980020707130562,0.41321100738972133
44,0.5127389597856912,0.3513403658442527,0.5066839096616589,0.4176995771763853
45,0.5202037055784311,0.3574482467077303,0.5148815643279666,0.42226874856034075
46,0.5269712976889322,0.36293802923973423,0.5222826486373157,0.42637094792164515
47,0.5356673444196851,0.369891802129026,0.5316581666301174,0.43144367479986173
48,0.5445862084542383,0.37723626205109373,0.5413999629290583,0.4365749778093908
49,0.5525157308409742,0.38404058917984907,0.5499889587561667,0.4409187753005679
50,0.5604056142227343,0.39078399488517024,0.5584054363667703,0.44528976124878467
51,0.5672496387516738,0.39702182595786945,0.5656783622734303,0.4488519021152511
52,0.5731175212213458,0.40247202674263893,0.5718196197053514,0.45161669010536093
53,0.578825459150824,0.40779409974396813,0.5777503225032821,0.4542308507838033
54,0.5857163476723712,0.4141141908489013,0.5849108285712676,0.4577194967961065
55,0.5929095486195474,0.4205680801594624,0.5922319891553248,0.4614018999128076
56,0.5998354941781264,0.4271587190720377,0.5993255572028948,0.46486256671468507
57,0.6061536993921307,0.43346212182055477,0.6057778869139437,0.46790938875479604
58,0.6111809635834246,0.43878218829258014,0.6109503229715721,0.47001062973578833
59,0.6170422909774789,0.44428099276311567,0.616943942027862,0.473008870114909
60,0.6239086617464373,0.45063006826417623,0.6238377941660387,0.4766238108883318
61,0.6299260834563968,0.45637957080722535,0.6299257585986302,0.4796580727047134
62,0.6357513999343282,0.46213537823264095,0.6356351632447041,0.48233364993090555
63,0.6421125314392749,0.46863374950986386,0.6418949941580433,0.48553633556405407
64,0.6469070292842563,0.47405247320074,0.646553859176233,0.48748835698730114
65,0.6518881233016195,0.4793684243248633,0.6513466365470114,0.4896098410224148
66,0.6557623842572678,0.4838775402481881,0.6550682870584341,0.49095850577391337
67,0.6590634260669406,0.4882351693685092,0.6581719114225243,0.49195696572198316
68,0.6613429625445323,0.4920379986611827,0.6602293855138276,0.4924321221854704
69,0.6649632788851901,0.49659846904139626,0.6636330902047773,0.4935555583977809
70,0.6681342993014885,0.500940074564747,0.6665224930713558,0.49438430321309573
71,0.6716698282434506,0.5054587324458681,0.6697338886787931,0.495528172698332
72,0.6761068659162166,0.5105072815923045,0.673935011331267,0.49732680477051255
73,0.6800865826200507,0.51533748645969,0.6776392240617186,0.4988279279343983
74,0.6829228820463502,0.5195348338901472,0.6802002949282427,0.49959586448762316
75,0.6868834259099593,0.524738608005445,0.6837691331480512,0.5009922599340986
76,0.6892692695012261,0.528862710398599,0.6858033260949218,0.501111974122069
77,0.6917504002204182,0.5330241062702595,0.6878047062173753,0.5014070850280957
78,0.6952119351409077,0.5377598521994142,0.6908047511672426,0.5023945020423961
79,0.6963822022531966,0.5408336608157479,0.69150762348557,0.5022165883337478
80,0.6992287674935254,0.5451504473313596,0.6938841346028572,0.5028921399377565
81,0.7011285958918648,0.548892276485801,0.6952863770513446,0.5029613575372712
82,0.7027487890648667,0.552327560254976,0.6963196981554122,0.5029608904087246
83,0.7046173206467927,0.5558293181494578,0.6976537548411563,0.5031177345899326
84,0.7072401434996588,0.5601094152938482,0.6997780324752377,0.5034866761251975
85,0.7095980465023298,0.5641418513684006,0.701639640706937,0.503691278581247
86,0.7133057935320679,0.5693745834683245,0.7048034933651159,0.5047920498786952
87,0.7163940457321395,0.5741143377753004,0.7073163756448024,0.5054782703096414
88,0.7198696768002903,0.5790814858109664,0.7099237163237899,0.506204171858396
89,0.7227186198128878,0.5835884082197776,0.712168069158475,0.5068701423228014
90,0.7258054802773645,0.5882541757584379,0.7144991195550846,0.5076471837374315
91,0.7279605651329127,0.5922097323340865,0.7159197524037941,0.5078366732864463
92,0.7299384731085665,0.5960357335558524,0.7171541640449074,0.5077243679908621
93,0.7317916370861745,0.5997814091695883,0.7182934745320052,0.5077349954858579
94,0.7341625450063107,0.6039647388344497,0.7199588358506347,0.5079422522596185
95,0.7358925426906467,0.6076817397173297,0.72104453449805,0.5077238421535297
96,0.7372967451325336,0.6111368348267526,0.7218417699645634,0.507318739687726
97,0.7377863999561115,0.6138547499146321,0.721509076229299,0.5062061557278059
98,0.7386240824908784,0.6167909503021802,0.721536497520311,0.5055083641784559
99,0.7389663230474666,0.6193318530613656,0.7210400050186256,0.504546316868176
100,0.7392970885308976,0.6218904782615842,0.7204820990943691,0.5034834045739354
101,0.7394530739611239,0.6243353659331842,0.7197208691620233,0.5021571271449577
102,0.739982222763379,0.6270394142215784,0.7192787431196723,0.5009597488588332
103,0.7402936787187667,0.62958494329257,0.7185824843915516,0.49982802030319917
104,0.7412356884018516,0.6326315209142952,0.7185118512838221,0.49900992492246704
105,0.7420925976631593,0.6355875080881055,0.7183475255726955,0.4980864136379566
106,0.7417753759790916,0.6377340988289237,0.7172026133609217,0.49680716415017495
107,0.7425537589654377,0.6405633244103712,0.7168641693428881,0.49597190801477725
108,0.7430843508193494,0.6429923601237183,0.7163345157048732,0.495218338293018
109,0.7442960309149153,0.6460494851128642,0.7164571238746376,0.4948226266665445
110,0.7445640843373288,0.6484298821231822,0.7156700270368127,0.49377332028356147
111,0.7457579472259959,0.6515926979257185,0.7159131783185333,0.4931713708868657
112,0.7469908425394785,0.6547494583283964,0.7162525476859417,0.49259233465258706
113,0.7478298243685473,0.6575632570471371,0.7161416833830693,0.4917022548991592
114,0.7480820943787719,0.6598546641351637,0.7152781614376192,0.49054064877644626
115,0.7479801959679453,0.6618548996744014,0.7141323617803006,0.4891984554076908
116,0.7482989466293842,0.6641431320126969,0.7134174545104964,0.4880370181148729
117,0.7483166149082263,0.6661397961853696,0.7123181112416811,0.48675469686900624
118,0.7484962840590037,0.668213465161528,0.7113314531248492,0.4856175807264636
119,0.7481541488526845,0.669882217087027,0.7099854486324138,0.4843060853693006
120,0.7481092782152434,0.6716911750925892,0.7088566599115562,0.4832703296252367
121,0.7478386788576982,0.6732207918837889,0.7076678459678531,0.4823604021349599
122,0.7482794018828381,0.6752833758102652,0.7070270562793454,0.48175591993046274
123,0.7492453611896828,0.6778788822164086,0.7068641404613502,0.4809988511758219
124,0.7487764638912661,0.6793467745170328,0.7054771793110528,0.4796648290596556
125,0.7484602595984259,0.6809125003046477,0.7041593305218222,0.47827065368627575
126,0.7481199842415449,0.6824889510247656,0.7028618847942466,0.47688155772325297
127,0.7476891840690745,0.6839030594432091,0.7015564151999645,0.47556327756024375
128,0.7470868621308648,0.6851109347084059,0.7000951663163405,0.4741403912005461
129,0.7465880993502408,0.686372944789289,0.6986699702143361,0.47273130417960574
130,0.7461237141962043,0.6877102509641855,0.6972993413214139,0.47132782192902734
131,0.7466037433704422,0.6896568612546907,0.696387456689182,0.47015315164844557
132,0.7474040303932821,0.6917151519976257,0.695695469127093,0.469185588692161
133,0.7476101030312838,0.6929492925615118,0.6947085562860826,0.46825387894370685
134,0.7477052080327369,0.6942735121257674,0.6935599689884757,0.4672139625736538
135,0.7475827594806685,0.6956469824570685,0.6923304027716951,0.4660088915679282
136,0.7474907011415385,0.696995371295905,0.6910980107345616,0.46481083998134
137,0.7474738603338555,0.6984734407709278,0.689964617921606,0.46362881905137077
138,0.7479546502416491,0.7001818867640167,0.6890056543359708,0.4625608233551476
139,0.7476118532648187,0.701064381166773,0.6877359020670988,0.4614682593222352
140,0.7472058521045349,0.7018222951425727,0.6864388490572142,0.4602500362536534
141,0.7468506984025239,0.7025506291409308,0.6852701810378168,0.45929233959478155
142,0.7464733091796169,0.7031401854280541,0.6842210585196722,0.4584276536333503
143,0.7461547447343851,0.7036295872080662,0.6832873527116096,0.4579355202688734
144,0.7458733381886757,0.704272192351465,0.682161185676645,0.4570002764572947
145,0.7456707223826363,0.7049354910171652,0.6811762652907989,0.4561897004216823
146,0.7453826576418774,0.7054989207524364,0.6801210945149821,0.4554236957468393
147,0.7450864694783894,0.7061765199902302,0.6791254195352335,0.45476685251659554
148,0.7448523471259028,0.7068304744895659,0.6783288197272536,0.454503611636107
149,0.7448041605422906,0.7075904394871289,0.6777029818476806,0.45459684030635755
150,0.7449533016209454,0.7087922807933694,0.6769462895298538,0.454143979313258
151,0.7449336903834489,0.7096881289190097,0.6763279942102867,0.4541617247596631
152,0.7451371043246237,0.7109053579518377,0.6756157902475133,0.45372200392171286
153,0.7452783726344145,0.7120485357372817,0.6748860468181624,0.45332106142471457
154,0.7451696219833721,0.7125369641853846,0.674367525250648,0.4537352819484762
155,0.7451312128173032,0.7130172594393088,0.6739989543585457,0.4544108793655115
156,0.7451927856520015,0.7134772136152223,0.6740441349062738,0.4555587328260001
157,0.7457520852274906,0.714569606747761,0.6742319973136491,0.4561843582859881
158,0.7459719386663735,0.7151679831537923,0.6745883985537839,0.4572112291683814
159,0.7461348518128413,0.7157552574619213,0.6747736023228664,0.45821056579194536
160,0.7463352026727812,0.7161826784780062,0.6752611954085033,0.459473927305583
161,0.7465546566054467,0.716659780645943,0.6756957093884018,0.4608302483249566
162,0.7474664381072793,0.7179036334530636,0.6760734523021582,0.4615645716105179
163,0.7474520322862314,0.7184177200057331,0.675641076299081,0.4613683006865359
164,0.7479419587666979,0.7192867358601199,0.6750990261549835,0.4605604737391618
165,0.7484077497456718,0.7201116228452413,0.6745687895342066,0.4597985269860392
166,0.7489265893011112,0.7211643434829266,0.6743676866177843,0.45962562346142727
167,0.7505211516765031,0.7230278970079332,0.6751520082056105,0.4605479488586477
168,0.7521965705609105,0.7248957129086065,0.6761639142120376,0.46153947442463455
169,0.7533724880688325,0.7263592476598446,0.6763329036435299,0.46152359750506283
170,0.7542326252910799,0.7275561974188834,0.6765442916740365,0.4618942248504099
171,0.7545731024131004,0.7281351440361161,0.6770711651216298,0.4628228268430187
172,0.7547784266179729,0.7285539242609443,0.6775981297110393,0.46398679955089633
173,0.7548950985306343,0.7289443009154396,0.6779443375307576,0.4645664629277561
174,0.7547842070089581,0.7290120027145398,0.6779473393819081,0.4645934356427404
175,0.7547370516346339,0.7292593418749646,0.677737978925645,0.46447273379775483
176,0.755025106583032,0.7297763385203594,0.6774335472548767,0.46400886251779977
177,0.755313975044924,0.7302417427573027,0.6771663250570441,0.46358246141676335
178,0.755531396536097,0.7308557018986015,0.6771523629856505,0.46371758725655815
179,0.7557730962612161,0.7314555570275051,0.6771764339387821,0.46391971033439466
180,0.75570748214763,0.7315117814006445,0.677014534765206,0.4639251934981312
181,0.7555158257566758,0.7314119776397751,0.6766861393607067,0.4636875724992752
182,0.7552427524167487,0.7311471706273346,0.6765688322064222,0.46364960484813267
183,0.7545721813371836,0.7305440066899668,0.6760883247607863,0.4631711260271589
184,0.7538513827229644,0.7300428958036435,0.6754032716412125,0.46230888594009545
185,0.7535983539084656,0.7297809964182509,0.6750363581646527,0.46189833133112795
186,0.753662964870089,0.7298919194747822,0.6751702029273702,0.46232478502059443
187,0.7532331693671391,0.7296124396314057,0.6746728352366937,0.46168130114484024
188,0.7532869457716297,0.729783994597759,0.6746054932749304,0.4616633354651653
189,0.7535825298682075,0.7302467464856021,0.6747533289432386,0.4618226332723858
190,0.7541500446458919,0.7309142046227797,0.6751754805388566,0.46225913197736795
191,0.7545226889622573,0.7314148748345806,0.6755545536734228,0.46278680534819483
192,0.7545948809636119,0.7315090364996544,0.6760816842283504,0.4636519976722157
193,0.7551110854802587,0.7320884190430896,0.6764523836782579,0.4641019572017523
194,0.7546203172647823,0.7315209749052958,0.6761354124992875,0.46369849509481526
195,0.7543027107758468,0.7311811466878828,0.6759018367388023,0.4633243223554671
196,0.7540322821593728,0.7307771296105433,0.6757853887099661,0.46318389429295664
197,0.7538633542113545,0.7305245694531767,0.6755979213871954,0.4628711489880378
198,0.7531424725144061,0.7297503523286885,0.6751371928914719,0.4623238931631595
199,0.751570285123451,0.7282358675373262,0.6740919438898394,0.4615464686074605
200,0.7506514126401055,0.7272934124232184,0.6734946601691902,0.46082738105689003
201,0.75064150467195,0.7271214655945334,0.6732931033997681,0.4602478425447663
202,0.750609555930982,0.7268318369349404,0.6730760053237755,0.45978341443780163
203,0.7501207062395123,0.7262383837469312,0.672767067291912,0.4592764870896506
204,0.749249518977471,0.7250652404361934,0.6723734168120684,0.45886546285862784
205,0.7484258581429348,0.7241466224830192,0.6719828801196749,0.45823410692398847
206,0.7478860754884631,0.7234605570758113,0.6716866700058497,0.457580652113046
207,0.7473860373088568,0.7227448102054002,0.6715157835609901,0.45725355141867574
208,0.7467163353909025,0.7218708433687747,0.6712584063168724,0.45686709333272
209,0.7455925777638138,0.7204588679324753,0.6709144478933958,0.45647104032726193
210,0.7445400208234371,0.7191276339030728,0.6705993300823498,0.45597627797724327
211,0.7438938545551437,0.7181675101377718,0.6704923699217551,0.45568686584759205
212,0.7433988482857357,0.7174941945578059,0.670411915466073,0.455399637671495
213,0.7429926337996765,0.7167648759216285,0.6704202530540007,0.45528315420184884
214,0.7419348733321255,0.7152989138372372,0.67008976385271,0.45488238067984815
215,0.7411770053427756,0.7140149034133291,0.6700860280720184,0.4548141611556102
216,0.740238711858256,0.7125784941620349,0.669966572246426,0.4546522299510638
217,0.7390624020154494,0.7111600781569203,0.66951399697448,0.45404301787437956
218,0.7387624131994831,0.7104838833143577,0.6694543259090127,0.4536806871437491
219,0.7379749949197828,0.709378107391979,0.6692395504924035,0.4531743259402569
220,0.7372039497406064,0.708235952561015,0.6690031178393785,0.45271614768157525
221,0.7361211825809163,0.7068957243921536,0.6683894158367931,0.45195569868783675
222,0.7345881999400689,0.705029677474631,0.6676005089803044,0.45120857489121374
223,0.733726319265236,0.7035323928452688,0.6674653830715436,0.45090701939188393
224,0.7330862419291555,0.702280342262231,0.667493980060153,0.45076944957685694
225,0.732481470290899,0.7008740044934294,0.6675546330362625,0.45079678428868014
226,0.7314237004584807,0.6991499471833305,0.6673412477701532,0.4504712029344458
227,0.7306736471582794,0.6978155334527458,0.6672089151423051,0.4501579008144254
228,0.7298163873013425,0.6965648361734773,0.6669845910448343,0.4498538440450234
229,0.729062523140698,0.6953646276061405,0.6669203929977812,0.44966003379262437
